trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
758,False,"{'a': 0.3, 'e': 0.022381810029994047}",20,12,14.984516502578924,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,False,"{'a': 0.3, 'e': 0.022269900979844076}",25,19,10.345254014297957,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
760,False,"{'a': 0.3, 'e': 0.022158551474944856}",20,7,28.6924823980408,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
761,False,"{'a': 0.3, 'e': 0.022047758717570132}",20,6,25.511496660529605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
762,False,"{'a': 0.3, 'e': 0.021937519923982282}",35,17,33.47354840580534,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,False,"{'a': 0.3, 'e': 0.021827832324362372}",20,5,25.096992529765217,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
764,False,"{'a': 0.3, 'e': 0.02171869316274056}",20,0,29.75155894406299,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,False,"{'a': 0.3, 'e': 0.021610099696926857}",25,11,21.158484341328204,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,False,"{'a': 0.3, 'e': 0.021502049198442223}",20,16,6.522380292223273,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.3, 'e': 0.021394538952450012}",25,14,23.181150863688522,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.3, 'e': 0.02128756625768776}",25,20,9.74369830353416,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,False,"{'a': 0.3, 'e': 0.021181128426399323}",25,20,8.26204095894831,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,False,"{'a': 0.3, 'e': 0.021075222784267326}",20,15,12.690408335019166,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
771,False,"{'a': 0.3, 'e': 0.020969846670345987}",20,13,9.605137850430058,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
772,False,"{'a': 0.3, 'e': 0.020864997436994256}",25,19,10.322669848090506,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.3, 'e': 0.020760672449809284}",20,9,21.19841462793915,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.3, 'e': 0.020656869087560238}",20,10,18.378769616336598,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
775,False,"{'a': 0.3, 'e': 0.020553584742122436}",25,11,25.70659104741793,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
776,False,"{'a': 0.3, 'e': 0.020450816818411825}",25,5,35.88505424350515,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
777,False,"{'a': 0.3, 'e': 0.020348562734319765}",20,14,13.333971482479186,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,False,"{'a': 0.3, 'e': 0.020246819920648168}",20,10,19.138769767741138,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.3, 'e': 0.020145585821044927}",25,13,19.60274164270203,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
780,False,"{'a': 0.3, 'e': 0.020044857891939702}",25,7,26.34553519453439,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
781,False,"{'a': 0.3, 'e': 0.019944633602480003}",20,7,13.659658478485824,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
782,False,"{'a': 0.3, 'e': 0.019844910434467605}",25,14,24.094899311540694,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
783,False,"{'a': 0.3, 'e': 0.019745685882295267}",20,7,23.452986877668625,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
784,False,"{'a': 0.3, 'e': 0.01964695745288379}",20,8,19.44990184116276,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
785,False,"{'a': 0.3, 'e': 0.01954872266561937}",25,20,9.111646133923202,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
786,False,"{'a': 0.3, 'e': 0.019450979052291272}",20,13,12.450206036168339,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
787,False,"{'a': 0.3, 'e': 0.019353724157029815}",25,4,25.46035831025877,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
788,False,"{'a': 0.3, 'e': 0.019256955536244666}",25,14,18.420936832007744,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
789,False,"{'a': 0.3, 'e': 0.019160670758563442}",25,17,14.730214878631948,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
790,False,"{'a': 0.3, 'e': 0.019064867404770626}",30,21,18.457487060063798,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
791,False,"{'a': 0.3, 'e': 0.018969543067746772}",30,20,19.31725954078367,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
792,False,"{'a': 0.3, 'e': 0.018874695352408037}",20,16,8.725090195152502,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
793,False,"{'a': 0.3, 'e': 0.018780321875645996}",25,17,16.432094055015078,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
794,False,"{'a': 0.3, 'e': 0.018686420266267767}",20,13,15.226673322213845,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
795,False,"{'a': 0.3, 'e': 0.018592988164936427}",35,13,40.812630562019734,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
796,False,"{'a': 0.3, 'e': 0.018500023224111744}",20,14,12.406680479300231,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
797,False,"{'a': 0.3, 'e': 0.018407523107991184}",25,18,11.231734503903262,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
